@RELATION Stack_Overflow

@ATTRIBUTE howQty INTEGER
@ATTRIBUTE debugQty INTEGER
@ATTRIBUTE conceptualQty INTEGER
@ATTRIBUTE lookingForQty INTEGER
@ATTRIBUTE questionQty INTEGER
@ATTRIBUTE optimalQty INTEGER
@ATTRIBUTE answerHasCode INTEGER
@ATTRIBUTE questionHasCode INTEGER
@ATTRIBUTE answerHasLink INTEGER
@ATTRIBUTE questionHasLink INTEGER
@ATTRIBUTE class {How-to-do-it,Conceptual,Seeking-something}

@DATA
0,1,8,1,5,1,1,1,0,0,Conceptual
0,0,0,14,2,0,0,0,1,0,Seeking-something
12,0,1,1,1,0,1,1,1,0,How-to-do-it
16,0,0,0,4,0,1,1,0,0,How-to-do-it
5,0,1,1,2,1,0,1,0,0,How-to-do-it
0,0,33,0,1,0,1,0,1,1,Conceptual
5,0,0,0,1,1,0,0,1,1,How-to-do-it
5,2,0,0,1,0,0,0,1,0,How-to-do-it
5,2,3,4,2,0,1,1,1,0,How-to-do-it
6,0,0,3,2,1,1,1,0,0,How-to-do-it
22,0,6,3,2,2,0,1,0,1,How-to-do-it
20,0,1,15,1,1,0,0,0,0,How-to-do-it
5,0,2,4,1,0,1,1,1,0,How-to-do-it
0,0,0,3,1,0,0,0,1,0,Seeking-something
6,0,0,0,1,0,1,1,0,0,How-to-do-it
15,0,1,1,3,0,0,0,0,0,How-to-do-it
2,1,0,0,1,0,1,1,0,0,How-to-do-it
1,1,9,5,2,4,0,0,1,0,Conceptual
5,0,6,5,2,1,0,1,0,0,Conceptual
0,0,0,16,2,3,0,0,1,1,Seeking-something
1,0,1,4,2,1,0,0,1,0,Seeking-something
6,0,0,1,2,2,0,0,1,0,How-to-do-it
6,0,0,1,2,0,1,0,1,0,How-to-do-it
6,0,0,2,1,0,1,0,0,1,How-to-do-it
24,1,13,1,0,1,1,0,0,0,How-to-do-it
5,0,1,0,1,0,1,1,0,0,How-to-do-it
11,0,1,5,2,1,0,1,0,0,How-to-do-it
0,0,2,13,1,1,0,0,1,0,Seeking-something
6,0,2,2,1,1,0,1,0,0,How-to-do-it
6,0,0,0,1,0,0,0,1,0,How-to-do-it
1,0,17,5,3,0,1,0,0,0,Conceptual
20,0,7,5,2,3,1,1,0,1,How-to-do-it
0,0,0,9,1,0,0,0,1,0,Seeking-something
0,0,3,15,3,2,0,1,1,0,Seeking-something
0,0,1,3,2,0,0,0,1,0,Seeking-something
8,4,7,2,0,2,1,0,0,0,How-to-do-it
9,0,1,4,1,2,1,0,0,0,How-to-do-it
1,0,14,21,3,5,0,0,1,1,Seeking-something
1,0,3,5,4,1,0,0,0,0,Seeking-something
12,4,5,10,2,3,0,0,0,0,How-to-do-it
5,0,0,0,2,0,0,0,0,0,How-to-do-it
17,0,10,13,4,1,0,0,1,1,How-to-do-it
0,0,17,8,1,0,1,1,1,0,Conceptual
12,0,4,2,2,2,0,0,1,0,How-to-do-it
0,0,39,3,1,0,0,0,1,0,Conceptual
11,0,0,12,3,3,1,0,1,1,Seeking-something
25,0,13,3,2,1,1,0,0,0,How-to-do-it
2,0,5,16,1,5,1,0,1,0,Seeking-something
1,2,5,6,3,0,0,1,1,0,Seeking-something
5,2,30,6,4,1,1,1,1,0,Conceptual
10,1,14,8,1,2,1,0,1,0,Conceptual
6,0,0,0,1,0,1,0,0,0,How-to-do-it
6,0,2,0,0,0,1,1,0,0,How-to-do-it
11,0,0,3,2,2,0,0,1,0,How-to-do-it
16,2,6,2,2,1,0,0,0,0,How-to-do-it
10,0,1,36,0,2,0,0,1,0,Seeking-something
